Date,value
1854-01-01,0.11
1854-02-01,-0.24
1854-03-01,-0.4
1854-04-01,-0.44
1854-05-01,-0.54
1854-06-01,-0.3
1854-07-01,-0.1
1854-08-01,-1.24
1854-09-01,-1.0
1854-10-01,-2.23
1854-11-01,-1.68
1854-12-01,-1.76
1855-01-01,-0.2
1855-02-01,-0.39
1855-03-01,-0.24
1855-04-01,-0.58
1855-05-01,-1.34
1855-06-01,-1.88
1855-07-01,-1.13
1855-08-01,-0.48
1855-09-01,-0.76
1855-10-01,-0.63
1855-11-01,-0.41
1855-12-01,-0.88
1856-01-01,-0.39
1856-02-01,0.47
1856-03-01,0.42
1856-04-01,-0.96
1856-05-01,-1.26
1856-06-01,-2.15
1856-07-01,-0.69
1856-08-01,0.63
1856-09-01,0.58
1856-10-01,0.59
1856-11-01,0.23
1856-12-01,0.04
1857-01-01,-0.52
1857-02-01,-1.67
1857-03-01,-1.05
1857-04-01,-0.81
1857-05-01,-0.65
1857-06-01,1.03
1857-07-01,1.17
1857-08-01,0.81
1857-09-01,0.84
1857-10-01,0.7
1857-11-01,0.38
1857-12-01,-0.55
1858-01-01,-0.96
1858-02-01,-1.53
1858-03-01,-1.76
1858-04-01,-0.82
1858-05-01,0.49
1858-06-01,2.19
1858-07-01,1.05
1858-08-01,0.67
1858-09-01,1.38
1858-10-01,2.35
1858-11-01,0.46
1858-12-01,-1.16
1859-01-01,-1.22
1859-02-01,-1.71
1859-03-01,-2.46
1859-04-01,-3.65
1859-05-01,-2.86
1859-06-01,-1.99
1859-07-01,-1.01
1859-08-01,-1.26
1859-09-01,-1.19
1859-10-01,-1.31
1859-11-01,-1.14
1859-12-01,-1.12
1860-01-01,-1.31
1860-02-01,-1.28
1860-03-01,-1.34
1860-04-01,-0.77
1860-05-01,-0.85
1860-06-01,-1.26
1860-07-01,-0.27
1860-08-01,-0.4
1860-09-01,0.33
1860-10-01,-1.7
1860-11-01,-1.18
1860-12-01,-1.42
1861-01-01,-0.57
1861-02-01,-0.84
1861-03-01,-0.86
1861-04-01,-0.83
1861-05-01,-0.37
1861-06-01,-0.35
1861-07-01,-0.61
1861-08-01,-0.8
1861-09-01,-1.2
1861-10-01,-1.58
1861-11-01,-1.8
1861-12-01,-1.65
1862-01-01,-0.41
1862-02-01,-0.13
1862-03-01,0.16
1862-04-01,0.07
1862-05-01,0.09
1862-06-01,-0.08
1862-07-01,-0.12
1862-08-01,-0.2
1862-09-01,-0.98
1862-10-01,-0.8
1862-11-01,-0.39
1862-12-01,0.07
1863-01-01,-0.06
1863-02-01,-0.34
1863-03-01,-0.37
1863-04-01,-0.18
1863-05-01,0.03
1863-06-01,-0.03
1863-07-01,0.07
1863-08-01,-0.26
1863-09-01,0.05
1863-10-01,0.07
1863-11-01,0.11
1863-12-01,-0.23
1864-01-01,-0.19
1864-02-01,-0.09
1864-03-01,-1.04
1864-04-01,-1.0
1864-05-01,-0.78
1864-06-01,-0.66
1864-07-01,-0.19
1864-08-01,-0.48
1864-09-01,-0.21
1864-10-01,0.23
1864-11-01,0.53
1864-12-01,0.5
1865-01-01,-0.28
1865-02-01,-0.54
1865-03-01,-0.48
1865-04-01,-0.16
1865-05-01,-0.15
1865-06-01,-0.66
1865-07-01,-0.96
1865-08-01,-0.69
1865-09-01,-0.73
1865-10-01,-0.61
1865-11-01,-0.62
1865-12-01,-0.76
1866-01-01,-2.31
1866-02-01,-2.27
1866-03-01,-2.22
1866-04-01,-1.16
1866-05-01,-0.68
1866-06-01,-0.84
1866-07-01,-0.55
1866-08-01,-0.4
1866-09-01,-0.35
1866-10-01,-0.17
1866-11-01,-0.07
1866-12-01,-0.29
1867-01-01,-0.14
1867-02-01,-0.29
1867-03-01,-0.48
1867-04-01,-0.43
1867-05-01,-0.34
1867-06-01,-0.14
1867-07-01,0.16
1867-08-01,-0.34
1867-09-01,-0.29
1867-10-01,-0.89
1867-11-01,-0.28
1867-12-01,0.76
1868-01-01,0.98
1868-02-01,0.26
1868-03-01,0.03
1868-04-01,-0.39
1868-05-01,-0.43
1868-06-01,-0.22
1868-07-01,0.11
1868-08-01,-0.02
1868-09-01,0.09
1868-10-01,-0.2
1868-11-01,-0.63
1868-12-01,-0.81
1869-01-01,-0.84
1869-02-01,-0.16
1869-03-01,0.33
1869-04-01,1.23
1869-05-01,3.56
1869-06-01,3.84
1869-07-01,3.78
1869-08-01,1.2
1869-09-01,-0.12
1869-10-01,-0.4
1869-11-01,-0.63
1869-12-01,-0.46
1870-01-01,0.23
1870-02-01,-0.19
1870-03-01,0.03
1870-04-01,-0.3
